"meet_location","meet_wday","meet_mday","meet_year","racecount","race_number","horse_number","horse_name","horse_sire","horse_trainer","horse_jockey","horse_odds","horse_odds_decimal","horse_place","purse","time_frac1","time_frac2","time_frac3","time_frac4","time_frac5","time_final","track_length","track_type","race_class","dist_frac1","dist_frac2","dist_frac3","dist_frac4","dist_frac5"
"Assiniboia Downs","Wednesday","September 20","2023",1,1,"1","Monstrodamous","Curlin to Mischief","Wendy Anderson","Renaldo Cumberbatch","2/1",2,1,14800,23.7,47.48,73.09,86.68,NA,93.78,"7 1/2F","Dirt","$7,500 Claiming","","","","",""
"Assiniboia Downs","Wednesday","September 20","2023",1,1,"2","Vangilder","Paynter","Jerry Gourneau","Neville Stephenson","3/1",3,3,14800,23.7,47.48,73.09,86.68,NA,93.78,"7 1/2F","Dirt","$7,500 Claiming","","","","",""
"Assiniboia Downs","Wednesday","September 20","2023",1,1,"3","Lookin High","Lookin At Lucky","Wendy Anderson","Timothy Peter Tarasenco","8/1",8,4,14800,23.7,47.48,73.09,86.68,NA,93.78,"7 1/2F","Dirt","$7,500 Claiming","","","","",""
"Assiniboia Downs","Wednesday","September 20","2023",1,1,"4","Delvecchio","Where's the Ring","Michael Nault","Chavion Chow","6/5",1.2,2,14800,23.7,47.48,73.09,86.68,NA,93.78,"7 1/2F","Dirt","$7,500 Claiming","","","","",""
"Assiniboia Downs","Wednesday","September 20","2023",1,1,"5","Cato's Lady","Midshipman","Jerry Gourneau","Arthur Budhu","12/1",12,5,14800,23.7,47.48,73.09,86.68,NA,93.78,"7 1/2F","Dirt","$7,500 Claiming","","","","",""
"Assiniboia Downs","Wednesday","September 20","2023",2,2,"1","Noiwontbackdown","The Factor","Courtney Ross","Antonio Whitehall","9/5",1.8,2,20000,23.39,47.06,59.85,NA,NA,73.48,"6F","Dirt","Maiden Special Weight","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",2,2,"2","Finalize","Freud","Shelley Brown","Fraser Aebly","6/5",1.2,1,20000,23.39,47.06,59.85,NA,NA,73.48,"6F","Dirt","Maiden Special Weight","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",2,2,"3","Ashes to Ashes","Micromanage","Shelley Brown","Neville Stephenson","15/1",15,4,20000,23.39,47.06,59.85,NA,NA,73.48,"6F","Dirt","Maiden Special Weight","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",2,2,"4","I Am Mila","Nonios","Jennifer Jordan","Shavon Belle","6/1",6,3,20000,23.39,47.06,59.85,NA,NA,73.48,"6F","Dirt","Maiden Special Weight","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",2,2,"5","Artful Jester","Society's Chairman","Tiffany Husbands","Timothy Peter Tarasenco","10/1",10,5,20000,23.39,47.06,59.85,NA,NA,73.48,"6F","Dirt","Maiden Special Weight","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",2,2,"6","Helens Spirit","Upstart","Jennifer Jordan","Nirone Austin","25/1",25,NA,20000,23.39,47.06,59.85,NA,NA,73.48,"6F","Dirt","Maiden Special Weight","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",2,2,"7","Bold New Tricks","Bold Chieftain","William Tourangeau","Sven Balroop","20/1",20,5,20000,23.39,47.06,59.85,NA,NA,73.48,"6F","Dirt","Maiden Special Weight","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",3,3,"1","Catch the Dream","Daddy Long Legs","Carl Norman Anderson","Timothy Peter Tarasenco","6/1",6,5,16500,22.73,45.87,58.97,NA,NA,72.26,"6F","Dirt","$15,000 Allowance Optional Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",3,3,"2","Island High","Going Commando","Lise Pruitt","Antonio Whitehall","20/1",20,5,16500,22.73,45.87,58.97,NA,NA,72.26,"6F","Dirt","$15,000 Allowance Optional Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",3,3,"3","Lady Cop","Vengeful Wildcat","Michael Nault","Chavion Chow","7/5",1.4,3,16500,22.73,45.87,58.97,NA,NA,72.26,"6F","Dirt","$15,000 Allowance Optional Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",3,3,"4","Russian Pearl","Nonios","Devon Gittens","Damario Bynoe","5/2",2.5,2,16500,22.73,45.87,58.97,NA,NA,72.26,"6F","Dirt","$15,000 Allowance Optional Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",3,3,"5","Olive's Candy","Candy Ride (ARG)","Tom Gardipy, Jr.","Fraser Aebly","12/1",12,4,16500,22.73,45.87,58.97,NA,NA,72.26,"6F","Dirt","$15,000 Allowance Optional Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",3,3,"6","I've Got All Nite","Saturdaynitelites","Devon Gittens","Shavon Belle","3/1",3,1,16500,22.73,45.87,58.97,NA,NA,72.26,"6F","Dirt","$15,000 Allowance Optional Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",4,4,"1","Properly Connected","Connect","Jerry Gourneau","Arthur Budhu","6/5",1.2,1,10100,23.21,46.53,59.6,NA,NA,73.09,"6F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",4,4,"2","Mosie's On Main","Reload","Tiffany Husbands","Timothy Peter Tarasenco","25/1",25,5,10100,23.21,46.53,59.6,NA,NA,73.09,"6F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",4,4,"3","Keystone Cash","Nonios","Devon Gittens","Shavon Belle","30/1",30,4,10100,23.21,46.53,59.6,NA,NA,73.09,"6F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",4,4,"4","Sunspot","Greenpointcrusader","Shaun Morin","Ronald Ali","20/1",20,NA,10100,23.21,46.53,59.6,NA,NA,73.09,"6F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",4,4,"5","Oscar the Gulch","Cape Canaveral","Lorne Fraser","Douglas Badaloo","6/1",6,NA,10100,23.21,46.53,59.6,NA,NA,73.09,"6F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",4,4,"6","Asta Lavista Honey","Pick Six","Jerry Gourneau","Neville Stephenson","5/2",2.5,2,10100,23.21,46.53,59.6,NA,NA,73.09,"6F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",4,4,"7","Just for Charlotte","Going Commando","Jennifer Jordan","Nirone Austin","8/1",8,3,10100,23.21,46.53,59.6,NA,NA,73.09,"6F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",4,4,"8","Debalicious","Going Commando","Deborah M. Hanson","Prayven Badrie","10/1",10,5,10100,23.21,46.53,59.6,NA,NA,73.09,"6F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",5,5,"1","Henrisincontrol","Quest","Wendy Anderson","Fraser Aebly","25/1",25,5,10200,22.77,46.38,58.92,NA,NA,65.45,"5 1/2F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",5,5,"2","Franks Reload","Reload","Maria Stanford","Neville Stephenson","4/1",4,4,10200,22.77,46.38,58.92,NA,NA,65.45,"5 1/2F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",5,5,"3","Justa Buster","Etbauer","Mike Taphorn","Ronald Ali","6/1",6,3,10200,22.77,46.38,58.92,NA,NA,65.45,"5 1/2F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",5,5,"4","Big Ticket","Competitive Edge","Jerry Gourneau","Renaldo Cumberbatch","3/1",3,2,10200,22.77,46.38,58.92,NA,NA,65.45,"5 1/2F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",5,5,"5","Tomahawk Explorer","Exploration","Lorne Fraser","Douglas Badaloo","40/1",40,5,10200,22.77,46.38,58.92,NA,NA,65.45,"5 1/2F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",5,5,"6","Witt's Rojo","Drums of Thunder","Jerry Gourneau","Stanley Chadee Jr.","15/1",15,5,10200,22.77,46.38,58.92,NA,NA,65.45,"5 1/2F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",5,5,"7","Lucky Chuckee","Bird Song","Shelley Brown","Antonio Whitehall","9/5",1.8,1,10200,22.77,46.38,58.92,NA,NA,65.45,"5 1/2F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",5,5,"8","Moro Outlaw","Moro Tap","Elton Dickey","Chavion Chow","10/1",10,NA,10200,22.77,46.38,58.92,NA,NA,65.45,"5 1/2F","Dirt","$5,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",6,6,"1","Tapiture Way","Tapiture","Shelley Brown","Sven Balroop","20/1",20,5,10000,23.02,46.62,59.94,NA,NA,73.52,"6F","Dirt","$3,000 Claiming","1/4","1/2","5/8","",""
"Assiniboia Downs","Wednesday","September 20","2023",6,6,"2","Witt Nine","Drums of Thunder","Carl Norman Anderson","Damario Bynoe","15/1",15,5,10000,23.02,46.62,59.94,NA,NA,73.52,"6F","Dirt","$3,000 Claiming","1/4","1/2","5/8","",""
