"meet_location","meet_wday","meet_mday","meet_year","racecount","race_number","horse_number","horse_name","horse_sire","horse_trainer","horse_jockey","horse_odds","horse_odds_decimal","horse_place","purse","time_frac1","time_frac2","time_frac3","time_frac4","time_frac5","time_final","track_length","track_type","race_class","dist_frac1","dist_frac2","dist_frac3","dist_frac4","dist_frac5"
"Hastings Park","Sunday","October 15","2023",1,1,"1","Divaany","Numaany","Dino K. Condilenios","Kimal Santo","8/1",8,4,11000,21.94,44.98,69.68,NA,NA,76.77,"6 1/2F","Dirt","$4,000 Claiming","1/4","1/2","3/4","",""
"Hastings Park","Sunday","October 15","2023",1,1,"2","An Army of Light","Carpe Diem","Barbara Heads","Amadeo Perez","1/1",1,1,11000,21.94,44.98,69.68,NA,NA,76.77,"6 1/2F","Dirt","$4,000 Claiming","1/4","1/2","3/4","",""
"Hastings Park","Sunday","October 15","2023",1,1,"3","Eh Tee Em","Ready Intaglio","Joey Turcotte","Gordon Gregory","15/1",15,5,11000,21.94,44.98,69.68,NA,NA,76.77,"6 1/2F","Dirt","$4,000 Claiming","1/4","1/2","3/4","",""
"Hastings Park","Sunday","October 15","2023",1,1,"4","Tuxedo","Numaany","Robert VanOverschot","Antonio Ambrosio Reyes","6/1",6,3,11000,21.94,44.98,69.68,NA,NA,76.77,"6 1/2F","Dirt","$4,000 Claiming","1/4","1/2","3/4","",""
"Hastings Park","Sunday","October 15","2023",1,1,"5","Ears to Us","Second in Command","Dino K. Condilenios","Silvino Morales","6/5",1.2,2,11000,21.94,44.98,69.68,NA,NA,76.77,"6 1/2F","Dirt","$4,000 Claiming","1/4","1/2","3/4","",""
"Hastings Park","Sunday","October 15","2023",2,2,"1","Space","Ghostzapper","Mel Snow","Brian Boodramsingh","2/1",2,1,25000,23.8,46.82,70.89,96.1,NA,102.86,"1 1/16M","Dirt","Allowance","1/4","1/2","3/4","MILE",""
"Hastings Park","Sunday","October 15","2023",2,2,"2","Star Entry","Hoorayforhollywood","Steve Henson","Kerron Khelawan","12/1",12,3,25000,23.8,46.82,70.89,96.1,NA,102.86,"1 1/16M","Dirt","Allowance","1/4","1/2","3/4","MILE",""
"Hastings Park","Sunday","October 15","2023",2,2,"3","Boitano","Nyquist","Mel Snow","Silvino Morales","3/1",3,4,25000,23.8,46.82,70.89,96.1,NA,102.86,"1 1/16M","Dirt","Allowance","1/4","1/2","3/4","MILE",""
"Hastings Park","Sunday","October 15","2023",2,2,"4","Stormy Blue","Midnight Storm","Barbara Heads","Antonio Ambrosio Reyes","8/5",1.6,2,25000,23.8,46.82,70.89,96.1,NA,102.86,"1 1/16M","Dirt","Allowance","1/4","1/2","3/4","MILE",""
"Hastings Park","Sunday","October 15","2023",2,2,"5","Itsmyday","New Year's Day","Robert VanOverschot","Amadeo Perez","7/2",3.5,5,25000,23.8,46.82,70.89,96.1,NA,102.86,"1 1/16M","Dirt","Allowance","1/4","1/2","3/4","MILE",""
