"meet_location","meet_wday","meet_mday","meet_year","racecount","race_number","horse_number","horse_name","horse_sire","horse_trainer","horse_jockey","horse_odds","horse_odds_decimal","horse_place","purse","time_frac1","time_frac2","time_frac3","time_frac4","time_frac5","time_final","track_length","track_type","race_class","dist_frac1","dist_frac2","dist_frac3","dist_frac4","dist_frac5"
"Woodbine","Sunday","August 21","2022",1,1,"1","Catrin","Black Eagle","Joseph Humber","Jeffrey Ian Alderson","12/1",12,5,64300,23.4,47.04,NA,NA,NA,59.48,"5F","Inner turf","$40,000 Maiden Optional Claiming","1/4","1/2","","",""
"Woodbine","Sunday","August 21","2022",1,1,"2","Natural Energy","Chart Topper","Anthony Pottinger","Declan Carroll","7/2",3.5,3,64300,23.4,47.04,NA,NA,NA,59.48,"5F","Inner turf","$40,000 Maiden Optional Claiming","1/4","1/2","","",""
"Woodbine","Sunday","August 21","2022",1,1,"3","Guns n' Rojas","Silver Max","Angus Buntain","Josh Scott","10/1",10,5,64300,23.4,47.04,NA,NA,NA,59.48,"5F","Inner turf","$40,000 Maiden Optional Claiming","1/4","1/2","","",""
"Woodbine","Sunday","August 21","2022",1,1,"4","Sensing Holiday","Ami's Holiday","Sid C. Attard","Justin Stein","9/2",4.5,NA,64300,23.4,47.04,NA,NA,NA,59.48,"5F","Inner turf","$40,000 Maiden Optional Claiming","1/4","1/2","","",""
"Woodbine","Sunday","August 21","2022",1,1,"5","Green Amazon","Jimmy Creed","Chetram Mohabir","Carl Defreitas","20/1",20,5,64300,23.4,47.04,NA,NA,NA,59.48,"5F","Inner turf","$40,000 Maiden Optional Claiming","1/4","1/2","","",""
"Woodbine","Sunday","August 21","2022",1,1,"6","Kinetic Stone","Big Screen","Ravendra B. Raghunath","Keveh Nicholls","15/1",15,5,64300,23.4,47.04,NA,NA,NA,59.48,"5F","Inner turf","$40,000 Maiden Optional Claiming","1/4","1/2","","",""
"Woodbine","Sunday","August 21","2022",1,1,"7","Housebuilder","Mshawish","William Tharrenos","Emma-Jayne Wilson","2/1",2,1,64300,23.4,47.04,NA,NA,NA,59.48,"5F","Inner turf","$40,000 Maiden Optional Claiming","1/4","1/2","","",""
"Woodbine","Sunday","August 21","2022",1,1,"8","River of Babylon","Souper Speedy","Carlton Teape","Jason Hoyte","8/1",8,4,64300,23.4,47.04,NA,NA,NA,59.48,"5F","Inner turf","$40,000 Maiden Optional Claiming","1/4","1/2","","",""
"Woodbine","Sunday","August 21","2022",1,1,"9","Smart Coverage","Congrats","Ricky Griffith","Juan Crawford","6/1",6,2,64300,23.4,47.04,NA,NA,NA,59.48,"5F","Inner turf","$40,000 Maiden Optional Claiming","1/4","1/2","","",""
"Woodbine","Sunday","August 21","2022",2,2,"1","Now Is a Breeze","Tiznow","Josie Carroll","Luis Contreras","4/1",4,5,123200,23.34,46.99,71.82,96.58,NA,103.13,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",2,2,"2","Grey Society","Society's Chairman","Roger L. Attfield","Antonio A. Gallardo","8/1",8,5,123200,23.34,46.99,71.82,96.58,NA,103.13,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",2,2,"3","Secretaryofthenile","Pioneerof the Nile","Roger L. Attfield","Emma-Jayne Wilson","5/2",2.5,4,123200,23.34,46.99,71.82,96.58,NA,103.13,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",2,2,"4","Medaglia Mo","Medaglia d'Oro","Mark E. Casse","Rafael Manuel Hernandez","10/1",10,5,123200,23.34,46.99,71.82,96.58,NA,103.13,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",2,2,"5","Cappy","Hard Spun","Mark E. Casse","Justin Stein","6/1",6,2,123200,23.34,46.99,71.82,96.58,NA,103.13,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",2,2,"6","Whimsical Dance","Distorted Humor","Gail Cox","Declan Carroll","15/1",15,1,123200,23.34,46.99,71.82,96.58,NA,103.13,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",2,2,"7","Curlin Candy","Curlin","Michael P. De Paulo","Gary Boulanger","3/1",3,3,123200,23.34,46.99,71.82,96.58,NA,103.13,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",2,2,"8","Indy Champagne","Curlin","Layne S. Giliforte","Christopher Husbands","15/1",15,5,123200,23.34,46.99,71.82,96.58,NA,103.13,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",2,2,"9","Turf and Surf","We Miss Artie","Nicholas Nosowenko","Keveh Nicholls","15/1",15,5,123200,23.34,46.99,71.82,96.58,NA,103.13,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",3,3,"1","Hard Edge","Hard Spun","Stuart C. Simon","Eswan Flores","12/1",12,4,125000,23.05,46.25,69.88,NA,NA,76.14,"6 1/2F","All Weather Track","Sweet Briar Too S.","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",3,3,"2","Beyond Mybudget","Munnings","Mark E. Casse","Declan Carroll","8/1",8,2,125000,23.05,46.25,69.88,NA,NA,76.14,"6 1/2F","All Weather Track","Sweet Briar Too S.","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",3,3,"3","Hazelbrook","Bayern","Lorne Richards","Jason Hoyte","2/1",2,1,125000,23.05,46.25,69.88,NA,NA,76.14,"6 1/2F","All Weather Track","Sweet Briar Too S.","1/4","1/2","3/4","",""
